test,time_seq,fpr,time_par6,speedup6,time_par12,speedup12,time_par24,speedup24,time_par48,speedup48,time_par96,speedup96,time_par192,speedup192,time_par384,speedup384,time_par768,speedup768
10000,0.026,0.014,0.015,1.763,0.013,2.036,0.015,1.816,0.025,1.058,0.038,0.696,0.051,0.514,0.052,0.509,0.066,0.403
1120000,2.862,0.008,0.905,3.163,0.908,3.152,0.973,2.940,0.953,3.003,1.069,2.678,1.183,2.420,0.898,3.186,0.936,3.056
2230000,5.733,0.012,1.714,3.345,1.651,3.472,1.675,3.422,1.765,3.248,1.828,3.135,1.995,2.874,2.294,2.499,1.768,3.243
3340000,8.647,0.007,2.750,3.144,2.536,3.410,2.467,3.505,2.518,3.434,2.651,3.262,2.869,3.014,3.385,2.554,2.640,3.275
4450000,11.520,0.012,3.816,3.019,3.601,3.199,3.357,3.432,3.421,3.367,4.074,2.828,4.202,2.742,4.089,2.817,4.959,2.323
5560000,14.361,0.011,4.547,3.158,4.040,3.555,4.071,3.527,4.103,3.500,4.774,3.008,4.726,3.039,6.854,2.095,7.177,2.001
6670000,18.176,0.007,6.265,2.901,6.395,2.842,6.096,2.982,6.134,2.963,6.612,2.749,6.798,2.674,7.063,2.573,9.148,1.987
7780000,21.038,0.012,7.399,2.843,6.410,3.282,6.461,3.256,7.659,2.747,6.812,3.089,7.147,2.944,8.394,2.506,9.798,2.147
8890000,23.272,0.006,7.954,2.926,6.862,3.391,6.654,3.497,6.673,3.487,6.935,3.356,7.937,2.932,7.970,2.920,9.852,2.362
10000000,25.796,0.010,8.396,3.073,7.632,3.380,7.668,3.364,7.447,3.464,7.850,3.286,8.663,2.978,8.971,2.875,10.773,2.395
