test,time_seq,fpr,time_par2,speedup2,time_par4,speedup4,time_par6,speedup6
10000,0.018,0.012,0.848,0.021,0.717,0.025,0.036,0.499
1120000,1.824,0.010,2.550,0.715,1.858,0.982,1.341,1.360
2230000,3.611,0.010,3.983,0.907,2.688,1.343,2.327,1.552
3340000,5.573,0.010,5.627,0.991,3.102,1.797,3.065,1.819
4450000,7.341,0.010,7.191,1.021,4.274,1.718,3.054,2.404
5560000,9.277,0.010,8.379,1.107,4.642,1.998,3.730,2.487
6670000,10.580,0.010,10.429,1.014,6.098,1.735,4.955,2.135
7780000,12.841,0.010,12.268,1.047,6.906,1.859,5.895,2.178
8890000,14.228,0.010,13.325,1.068,7.738,1.839,6.797,2.093
10000000,16.081,0.010,14.695,1.094,8.554,1.880,6.543,2.458
