Test,TSeq,FPR,TPar2,SpeedUp2,TPar4,SpeedUp4,TPar6,SpeedUp6,TPar8,SpeedUp8,TPar10,SpeedUp10,TPar12,SpeedUp12,TPar14,SpeedUp14,TPar16,SpeedUp16,
10000,0.014,0.009,0.908,0.015,0.674,0.021,0.758,0.018,0.033,0.422,1.405,0.01,0.033,0.431,0.033,0.422,0.037,0.378,
1120000,1.756,0.01,2.451,0.716,1.772,0.991,1.554,1.13,1.279,1.373,1.681,1.044,0.919,1.911,0.898,1.956,0.881,1.993,
2230000,3.068,0.01,3.526,0.87,2.466,1.244,2.398,1.28,1.777,1.726,2.392,1.283,1.517,2.023,1.465,2.094,1.446,2.122,
3340000,4.379,0.01,4.607,0.951,3.091,1.417,2.746,1.595,2.245,1.951,2.668,1.641,2.073,2.112,1.959,2.236,2.093,2.093,
4450000,5.87,0.01,5.926,0.991,3.651,1.608,3.455,1.699,2.801,2.095,3.305,1.776,2.53,2.32,2.447,2.398,2.353,2.494,
5560000,7.37,0.01,7.262,1.015,4.462,1.652,4.047,1.821,3.492,2.11,3.796,1.942,3.295,2.237,3.13,2.355,2.998,2.459,
6670000,8.888,0.01,8.542,1.041,5.614,1.583,5.102,1.742,4.456,1.995,4.469,1.989,3.735,2.38,3.658,2.43,3.527,2.52,
7780000,10.336,0.01,10.17,1.016,6.233,1.658,5.599,1.846,4.778,2.163,5.081,2.034,4.447,2.325,4.275,2.418,4.192,2.466
8890000,11.791,0.01,11.168,1.056,7.375,1.599,6.418,1.837,5.474,2.154,5.788,2.037,5.034,2.342,4.825,2.444,4.633,2.545,
10000000,13.326,0.01,12.902,1.033,8.085,1.648,7.359,1.811,6.546,2.036,6.273,2.124,5.751,2.317,5.487,2.429,5.323,2.504,
