Test,TSeq,FPR,TPar2,SpeedUp2,TPar4,SpeedUp4,TPar6,SpeedUp6,TPar8,SpeedUp8,TPar10,SpeedUp10,TPar12,SpeedUp12,TPar14,SpeedUp14,TPar16,SpeedUp16,
10000,0.014,0.008,0.572,0.025,0.556,0.025,0.64,0.022,0.021,0.674,1.2,0.012,0.021,0.674,0.021,0.674,0.02,0.708,
1120000,2.181,0.014,2.545,0.857,1.673,1.303,1.752,1.245,1.165,1.872,1.57,1.389,0.958,2.276,0.923,2.363,0.897,2.431,
2230000,4.318,0.007,4.104,1.052,2.71,1.593,2.361,1.829,1.99,2.17,2.406,1.794,1.739,2.483,1.741,2.48,1.697,2.544,
3340000,6.623,0.01,5.845,1.133,3.694,1.793,3.207,2.065,2.727,2.429,3.114,2.127,2.525,2.623,2.399,2.761,2.279,2.906,
4450000,9.05,0.008,7.515,1.204,4.774,1.896,4.216,2.146,3.47,2.608,3.722,2.431,3.115,2.905,3.139,2.883,2.944,3.074,
5560000,11.152,0.011,9.182,1.215,5.569,2.002,5.033,2.216,4.166,2.677,4.543,2.455,3.778,2.952,3.726,2.993,3.591,3.105,
6670000,13.198,0.004,10.957,1.205,6.706,1.968,5.935,2.224,5.23,2.524,5.515,2.393,4.647,2.84,4.49,2.939,4.427,2.981,
7780000,15.351,0.011,13.077,1.174,7.766,1.977,6.805,2.256,6.107,2.514,6.277,2.446,5.434,2.825,5.253,2.922,5.173,2.967,
8890000,17.618,0.011,14.735,1.196,8.827,1.996,7.815,2.254,7.082,2.488,7.026,2.507,6.202,2.841,6.19,2.846,5.803,3.036,
10000000,20.083,0.009,16.957,1.184,9.939,2.021,8.86,2.267,7.807,2.572,7.855,2.557,6.805,2.951,6.732,2.983,6.568,3.058,
