Test,TSeq,FPR,TPar2,SpeedUp2,TPar4,SpeedUp4,TPar6,SpeedUp6,TPar8,SpeedUp8,TPar10,SpeedUp10,TPar12,SpeedUp12,TPar14,SpeedUp14,TPar16,SpeedUp16
10000,0.014,0.047,0.899,0.015,0.667,0.021,0.736,0.019,0.029,0.472,1.337,0.01,0.033,0.422,0.032,0.435,0.033,0.415
1120000,1.761,0.051,2.131,0.827,1.73,1.018,1.515,1.163,1.001,1.76,1.818,0.969,0.923,1.909,0.857,2.056,0.839,2.099
2230000,3.032,0.051,3.515,0.863,2.208,1.373,2.043,1.484,1.643,1.845,2.133,1.422,1.506,2.013,1.43,2.12,1.405,2.158
3340000,4.517,0.051,4.468,1.011,3.034,1.489,2.632,1.716,2.246,2.011,2.65,1.704,1.968,2.295,1.953,2.313,1.937,2.331
4450000,5.965,0.051,5.953,1.002,3.577,1.668,3.359,1.776,2.909,2.05,3.28,1.819,2.561,2.329,2.524,2.363,2.396,2.49
5560000,7.506,0.051,7.341,1.023,4.449,1.687,4.224,1.777,3.769,1.992,3.89,1.93,3.142,2.389,3.004,2.499,3.133,2.396
6670000,8.864,0.051,8.792,1.008,5.326,1.664,4.826,1.837,4.099,2.162,4.442,1.995,3.893,2.277,3.686,2.405,3.623,2.447
7780000,10.418,0.051,9.958,1.046,6.367,1.636,5.822,1.789,4.74,2.198,4.993,2.086,4.36,2.389,4.403,2.366,4.128,2.523
8890000,11.851,0.051,11.293,1.049,7.014,1.69,6.452,1.837,5.782,2.05,5.674,2.089,5.029,2.356,5.031,2.356,4.713,2.515
10000000,13.337,0.051,12.746,1.046,8.236,1.619,7.117,1.874,6.37,2.094,6.402,2.083,5.672,2.351,5.554,2.401,5.294,2.519
