Test,TSeq,FPR,TPar2,SpeedUp2,TPar4,SpeedUp4,TPar6,SpeedUp6,TPar8,SpeedUp8,TPar10,SpeedUp10,TPar12,SpeedUp12,TPar14,SpeedUp14,TPar16,SpeedUp16
10000,0.00898599624633789,0.096,0.566,0.016,0.566,0.016,0.652,0.014,0.015,0.598,1.288,0.007,0.018,0.499,0.02,0.449,0.02,0.449
1120000,1.4254469871520996,0.107,2.014,0.708,1.426,0.999,1.351,1.055,0.927,1.538,1.509,0.945,0.784,1.819,0.749,1.904,0.733,1.946
2230000,2.690185546875,0.095,3.281,0.82,2.2,1.223,2.037,1.32,1.857,1.448,2.108,1.276,1.451,1.854,1.404,1.917,1.418,1.897
3340000,4.056264400482178,0.105,4.518,0.898,2.864,1.416,2.715,1.494,2.044,1.984,2.514,1.614,1.911,2.123,1.879,2.159,1.791,2.265
4450000,5.415626764297485,0.083,5.536,0.978,3.412,1.587,3.33,1.626,2.664,2.033,3.012,1.798,2.647,2.046,2.388,2.268,2.256,2.401
5560000,6.792356967926025,0.126,6.951,0.977,4.245,1.6,3.972,1.71,3.411,1.991,3.786,1.794,2.948,2.304,2.989,2.273,2.818,2.41
6670000,8.441824197769165,0.129,8.601,0.981,5.215,1.619,4.834,1.746,4.127,2.046,4.362,1.935,3.594,2.349,3.378,2.499,3.49,2.419
7780000,9.626421928405762,0.092,9.567,1.006,5.755,1.673,5.399,1.783,4.737,2.032,5.038,1.911,4.115,2.34,3.975,2.422,3.934,2.447
8890000,11.000542879104614,0.105,11.093,0.992,6.536,1.683,5.765,1.908,5.184,2.122,5.443,2.021,4.72,2.331,4.586,2.399,4.37,2.518
10000000,11.936457395553589,0.124,11.91,1.002,7.46,1.6,6.738,1.772,5.86,2.037,5.887,2.028,5.308,2.249,5.33,2.24,5.06,2.359
