test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.016;0.000;inf;0.000;inf;0.000;inf;0.016;1.000;0.000;inf;0.000;inf;0.000;inf;0.000;inf;0.014;
1112000;8.092;4.242;1.908;2.392;3.383;1.797;4.503;1.531;5.285;1.310;6.177;1.260;6.422;1.145;7.067;1.020;7.933;0.012;
2223000;15.842;8.069;1.963;4.611;3.436;3.527;4.492;2.949;5.372;2.604;6.084;2.502;6.332;2.230;7.104;1.961;8.079;0.012;
3334000;22.963;11.963;1.920;6.898;3.329;5.249;4.375;4.293;5.349;3.834;5.989;3.714;6.183;3.397;6.760;3.079;7.458;0.012;
4445000;30.461;15.981;1.906;9.064;3.361;6.947;4.385;5.865;5.194;5.290;5.758;4.940;6.166;4.716;6.459;4.041;7.538;0.012;
5556000;38.130;19.788;1.927;11.255;3.388;8.926;4.272;7.363;5.179;6.664;5.722;6.776;5.627;5.863;6.503;5.116;7.453;0.012;
6667000;45.232;23.639;1.913;13.438;3.366;10.472;4.319;8.700;5.199;7.843;5.767;7.439;6.080;6.982;6.478;6.242;7.246;0.012;
7778000;53.165;27.783;1.914;15.752;3.375;12.134;4.381;10.149;5.238;9.116;5.832;8.701;6.110;8.216;6.471;7.290;7.293;0.012;
8889000;60.330;31.736;1.901;18.089;3.335;14.028;4.301;11.584;5.208;10.508;5.741;9.951;6.063;9.463;6.375;8.371;7.207;0.012;
10000000;67.425;35.620;1.893;20.390;3.307;15.982;4.219;13.315;5.064;11.643;5.791;11.233;6.002;10.376;6.498;9.328;7.228;0.012;
