test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.000;0.016;0.000;0.000;nan;0.000;nan;0.000;nan;0.016;0.000;0.000;nan;0.015;0.000;0.000;nan;0.052;
1112000;8.002;4.169;1.919;2.299;3.481;1.681;4.760;1.443;5.545;1.248;6.412;1.161;6.892;1.221;6.554;0.970;8.249;0.050;
2223000;15.162;7.803;1.943;4.390;3.454;3.333;4.549;2.726;5.562;2.479;6.116;2.377;6.379;2.206;6.873;1.951;7.771;0.051;
3334000;22.733;11.934;1.905;6.552;3.470;5.043;4.508;4.228;5.377;3.739;6.080;3.567;6.373;3.329;6.829;2.951;7.703;0.051;
4445000;30.330;15.873;1.911;8.811;3.442;6.847;4.430;5.703;5.318;5.053;6.002;4.815;6.299;4.492;6.752;4.078;7.437;0.054;
5556000;37.670;19.849;1.898;11.034;3.414;8.459;4.453;7.080;5.321;6.413;5.874;6.076;6.200;5.680;6.632;5.090;7.401;0.050;
6667000;45.270;23.757;1.906;13.326;3.397;10.299;4.396;8.911;5.080;7.880;5.745;7.304;6.198;6.921;6.541;6.174;7.332;0.048;
7778000;53.100;27.307;1.945;15.561;3.412;11.966;4.438;10.071;5.273;9.221;5.759;8.556;6.206;8.001;6.637;7.366;7.209;0.055;
8889000;60.125;31.866;1.887;17.662;3.404;13.700;4.389;11.599;5.184;10.434;5.762;9.659;6.225;9.233;6.512;8.361;7.191;0.054;
10000000;67.625;35.814;1.888;20.027;3.377;15.496;4.364;12.971;5.214;11.507;5.877;11.019;6.137;10.468;6.460;9.284;7.284;0.052;
