test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;tPar2Type2;speedUp2Type2;tPar4Type2;speedUp4Type2;tPar6Type2;speedUp6Type2;tPar8Type2;speedUp8Type2;tPar10Type2;speedUp10Type2;tPar12Type2;speedUp12Type2;tPar14Type2;speedUp14Type2;tPar16Type2;speedUp16Type2;fpr;
1000;0.010;0.006;1.667;0.004;2.500;0.004;2.500;0.002;5.000;0.003;3.333;0.002;5.000;0.004;2.500;0.003;3.334;0.005;2.000;0.003;3.334;0.005;2.000;0.002;5.000;0.004;2.500;0.002;5.000;0.002;5.000;0.002;5.000;0.011;
1112000;10.095;4.953;2.038;2.496;4.044;1.883;5.361;1.576;6.405;1.302;7.753;1.173;8.606;1.176;8.584;0.950;10.626;4.954;2.038;2.489;4.056;1.938;5.209;1.612;6.262;1.423;7.094;1.138;8.871;1.160;8.703;0.952;10.604;0.010;
2223000;19.906;9.838;2.023;5.005;3.977;3.906;5.096;3.190;6.240;2.734;7.281;2.464;8.079;2.192;9.081;2.108;9.443;9.830;2.025;4.999;3.982;3.861;5.156;3.127;6.366;2.636;7.552;2.451;8.122;2.275;8.750;2.113;9.421;0.010;
3334000;29.643;14.755;2.009;7.518;3.943;5.585;5.308;5.112;5.799;3.966;7.474;3.725;7.958;3.432;8.637;3.090;9.593;14.739;2.011;7.502;3.951;5.716;5.186;4.635;6.395;3.918;7.566;3.601;8.232;3.381;8.768;3.231;9.175;0.010;
4445000;40.034;19.664;2.036;10.026;3.993;7.632;5.246;6.282;6.373;5.388;7.430;4.982;8.036;4.542;8.814;4.061;9.858;19.649;2.037;9.997;4.005;7.528;5.318;6.346;6.309;5.376;7.447;4.957;8.076;4.515;8.867;4.114;9.731;0.010;
5556000;49.500;24.717;2.003;12.495;3.962;9.435;5.246;7.848;6.307;6.535;7.575;6.120;8.088;5.525;8.959;5.291;9.356;24.669;2.007;12.539;3.948;9.413;5.259;7.730;6.404;6.667;7.425;5.980;8.278;5.798;8.537;5.697;8.689;0.010;
6667000;60.288;29.666;2.032;14.874;4.053;11.224;5.371;9.493;6.351;7.927;7.605;7.307;8.251;6.657;9.056;6.668;9.041;29.650;2.033;14.842;4.062;11.612;5.192;9.117;6.613;7.909;7.623;7.290;8.270;6.746;8.937;6.350;9.494;0.010;
7778000;69.860;34.558;2.022;17.404;4.014;13.440;5.198;11.368;6.145;9.289;7.521;8.788;7.949;7.980;8.754;8.089;8.636;34.563;2.021;17.308;4.036;13.246;5.274;11.265;6.202;9.425;7.412;8.638;8.088;7.909;8.833;7.455;9.371;0.010;
8889000;79.779;39.570;2.016;19.909;4.007;14.973;5.328;12.142;6.570;10.499;7.599;9.575;8.332;9.098;8.769;8.418;9.477;39.663;2.011;19.947;4.000;14.975;5.327;12.239;6.518;10.599;7.527;9.935;8.030;9.164;8.706;8.464;9.426;0.010;
10000000;90.808;44.418;2.044;22.354;4.062;16.923;5.366;13.532;6.711;11.818;7.684;10.946;8.296;10.295;8.821;9.421;9.639;44.429;2.044;22.422;4.050;16.869;5.383;13.741;6.609;11.947;7.601;10.948;8.294;10.226;8.880;9.387;9.674;0.010;
