test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.010;0.006;1.667;0.005;2.000;0.003;3.333;0.003;3.334;0.003;3.333;0.004;2.500;0.003;3.333;0.003;3.333;0.010;
1112000;10.905;5.144;2.120;2.662;4.097;2.124;5.134;1.791;6.089;1.623;6.719;1.551;7.031;1.523;7.160;1.517;7.189;0.012;
2223000;21.590;10.200;2.117;5.340;4.043;4.136;5.220;3.593;6.009;3.258;6.627;3.151;6.852;3.039;7.104;3.049;7.081;0.010;
3334000;32.153;15.355;2.094;7.905;4.067;6.156;5.223;5.355;6.004;4.905;6.555;4.687;6.860;4.654;6.909;4.712;6.824;0.012;
4445000;41.334;20.444;2.022;10.704;3.862;8.275;4.995;7.176;5.760;6.561;6.300;6.268;6.594;6.162;6.708;6.524;6.336;0.010;
5556000;50.580;25.339;1.996;13.131;3.852;10.335;4.894;9.042;5.594;8.199;6.169;7.905;6.398;8.007;6.317;8.289;6.102;0.011;
6667000;60.196;30.452;1.977;15.677;3.840;12.393;4.857;10.774;5.587;9.855;6.108;9.590;6.277;9.834;6.121;10.142;5.935;0.011;
7778000;69.594;35.517;1.959;18.349;3.793;14.462;4.812;12.666;5.495;11.508;6.047;11.413;6.098;11.617;5.991;12.020;5.790;0.011;
8889000;79.856;40.516;1.971;21.008;3.801;16.304;4.898;14.533;5.495;13.203;6.048;13.077;6.107;13.383;5.967;13.832;5.773;0.012;
10000000;90.095;45.589;1.976;23.616;3.815;18.345;4.911;16.037;5.618;14.763;6.103;14.711;6.124;15.198;5.928;15.629;5.765;0.012;
