test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;tPar2Type2;speedUp2Type2;tPar4Type2;speedUp4Type2;tPar6Type2;speedUp6Type2;tPar8Type2;speedUp8Type2;tPar10Type2;speedUp10Type2;tPar12Type2;speedUp12Type2;tPar14Type2;speedUp14Type2;tPar16Type2;speedUp16Type2;fpr;
1000;0.010;0.005;2.000;0.004;2.500;0.003;3.333;0.005;2.000;0.003;3.334;0.003;3.333;0.002;5.000;0.003;3.333;0.004;2.500;0.005;2.000;0.003;3.333;0.003;3.333;0.003;3.333;0.002;5.000;0.003;3.333;0.003;3.333;0.059;
1112000;10.055;4.963;2.026;2.522;3.987;1.912;5.259;1.543;6.517;1.322;7.606;1.146;8.774;1.013;9.926;0.912;11.025;4.932;2.039;2.513;4.001;1.937;5.191;1.547;6.500;1.326;7.583;1.122;8.962;0.998;10.075;0.904;11.123;0.050;
2223000;20.470;9.904;2.067;4.998;4.096;3.814;5.367;3.080;6.646;2.619;7.816;2.252;9.090;2.094;9.776;1.919;10.667;9.902;2.067;5.000;4.094;3.761;5.443;3.092;6.620;2.603;7.864;2.279;8.982;2.047;10.000;1.962;10.433;0.050;
3334000;30.195;14.899;2.027;7.453;4.051;5.563;5.428;4.591;6.577;3.917;7.709;3.446;8.762;3.152;9.580;2.957;10.211;14.867;2.031;7.463;4.046;5.719;5.280;4.574;6.601;3.939;7.666;3.491;8.649;3.278;9.211;3.050;9.900;0.050;
4445000;40.400;19.808;2.040;9.961;4.056;7.520;5.372;6.201;6.515;5.178;7.802;4.716;8.567;4.335;9.319;4.044;9.990;19.831;2.037;10.018;4.033;7.591;5.322;6.189;6.528;5.248;7.698;4.750;8.505;4.345;9.298;4.051;9.973;0.051;
5556000;58.855;24.724;2.380;12.653;4.651;9.338;6.303;7.729;7.615;6.562;8.969;5.981;9.840;5.411;10.877;5.013;11.740;24.715;2.381;12.575;4.680;9.573;6.148;7.680;7.663;6.544;8.994;5.946;9.898;5.447;10.805;5.053;11.648;0.051;
6667000;64.400;29.736;2.166;14.866;4.332;11.158;5.772;9.176;7.018;7.766;8.293;7.154;9.002;6.388;10.081;5.838;11.031;29.727;2.166;14.890;4.325;11.412;5.643;9.293;6.930;7.894;8.158;7.119;9.046;6.497;9.912;6.045;10.653;0.051;
7778000;74.448;34.668;2.147;17.427;4.272;13.097;5.684;10.794;6.897;9.203;8.090;8.278;8.993;7.505;9.920;7.051;10.559;34.592;2.152;17.393;4.280;13.219;5.632;10.854;6.859;9.316;7.991;8.266;9.007;7.581;9.820;6.959;10.698;0.051;
8889000;86.235;39.717;2.171;19.881;4.338;15.279;5.644;12.211;7.062;10.655;8.093;9.502;9.075;8.643;9.977;7.811;11.040;39.681;2.173;19.928;4.327;15.011;5.745;12.512;6.892;10.591;8.142;9.547;9.033;8.669;9.948;8.210;10.504;0.051;
10000000;98.644;44.596;2.212;22.481;4.388;16.956;5.818;13.750;7.174;11.997;8.222;10.679;9.237;9.789;10.077;9.218;10.701;44.702;2.207;22.470;4.390;17.222;5.728;13.730;7.185;12.014;8.211;10.944;9.014;9.862;10.002;9.300;10.607;0.051;
