test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.009;0.006;1.500;0.004;2.250;0.003;3.000;0.003;3.000;0.003;3.000;0.003;3.000;0.002;4.500;0.001;9.001;0.052;
1112000;10.996;5.074;2.167;2.673;4.114;1.985;5.540;1.652;6.656;1.506;7.301;1.372;8.015;1.273;8.638;1.171;9.390;0.050;
2223000;23.303;10.085;2.311;5.218;4.466;4.070;5.726;3.360;6.935;3.016;7.726;2.735;8.520;2.536;9.189;2.344;9.942;0.051;
3334000;33.394;15.155;2.203;7.807;4.277;6.013;5.554;5.101;6.547;4.532;7.368;4.161;8.025;3.844;8.687;3.536;9.444;0.051;
4445000;42.305;20.189;2.095;10.459;4.045;7.970;5.308;6.720;6.295;5.977;7.078;5.471;7.733;5.067;8.349;4.919;8.600;0.054;
5556000;65.891;26.306;2.505;12.970;5.080;9.876;6.672;8.388;7.855;7.414;8.887;6.942;9.492;6.630;9.938;6.638;9.926;0.050;
6667000;62.524;30.310;2.063;15.692;3.984;12.152;5.145;10.007;6.248;9.147;6.835;8.359;7.480;7.871;7.944;7.517;8.318;0.048;
7778000;74.394;35.365;2.104;17.998;4.133;13.894;5.354;11.730;6.342;10.617;7.007;9.849;7.553;9.604;7.746;9.168;8.115;0.055;
8889000;90.544;40.372;2.243;20.888;4.335;16.024;5.651;13.381;6.767;12.082;7.494;11.134;8.132;10.627;8.520;10.129;8.939;0.054;
10000000;101.343;45.674;2.219;23.382;4.334;17.855;5.676;15.029;6.743;13.768;7.361;12.610;8.037;12.326;8.222;11.479;8.829;0.052;
